#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
3853at4891_2|ptg000003l:623440-626514   -           1025 3853at4891           -            850         0 1076.7  46.3   1   1         0         0 1075.4  46.3     2   849     3  1022     2  1023 0.89 -
1803at4891_2|ptg000008l:1062618-1065485 -            956 3853at4891           -            850   4.9e-22   75.0   5.3   1   3   6.5e-23   3.5e-20   68.9   0.0    21   154    17   152     3   156 0.88 -
1803at4891_2|ptg000008l:1062618-1065485 -            956 3853at4891           -            850   4.9e-22   75.0   5.3   2   3   0.00028      0.15    7.3   0.6   339   417   327   406   260   423 0.82 -
1803at4891_2|ptg000008l:1062618-1065485 -            956 3853at4891           -            850   4.9e-22   75.0   5.3   3   3      0.22   1.2e+02   -2.3   0.1   494   545   727   777   721   803 0.71 -
1803at4891_8|ptg000005l:260482-262257   -            592 3853at4891           -            850   1.8e-17   59.9   0.2   1   3   3.4e-20   1.8e-17   59.9   0.2    20   209    14   199     1   224 0.78 -
1803at4891_8|ptg000005l:260482-262257   -            592 3853at4891           -            850   1.8e-17   59.9   0.2   2   3       0.1        56   -1.3   0.0   202   267   225   290   205   299 0.78 -
1803at4891_8|ptg000005l:260482-262257   -            592 3853at4891           -            850   1.8e-17   59.9   0.2   3   3     0.053        29   -0.3   0.6   685   739   456   511   431   562 0.65 -
7523at4891_2|ptg000008l:1066580-1069591 -           1004 3853at4891           -            850   1.5e-12   43.6   0.4   1   4   2.8e-15   1.5e-12   43.6   0.4    17   151    11   152     3   162 0.82 -
7523at4891_2|ptg000008l:1066580-1069591 -           1004 3853at4891           -            850   1.5e-12   43.6   0.4   2   4   0.00021      0.11    7.7   3.1   355   433   339   417   244   461 0.82 -
7523at4891_2|ptg000008l:1066580-1069591 -           1004 3853at4891           -            850   1.5e-12   43.6   0.4   3   4      0.06        32   -0.5   0.1   505   542   597   634   590   655 0.81 -
7523at4891_2|ptg000008l:1066580-1069591 -           1004 3853at4891           -            850   1.5e-12   43.6   0.4   4   4     0.092        49   -1.1   0.4   719   761   769   815   675   837 0.67 -
1655at4891_2|ptg000013l:358231-360813   -            861 3853at4891           -            850     5e-07   25.4   1.1   1   1   2.1e-09   1.1e-06   24.2   1.1     5   131     3   139     1   157 0.83 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/3853at4891.hmm
# Target file:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/3853at4891.out --cpu 1 /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/3853at4891.hmm /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas 
# Current dir:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly
# Date:            Wed Feb 21 15:52:46 2024
# [ok]
