# BUSCO version is: 5.6.1 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2024-01-08, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	ptg000004l	343431	328702	-	4422.4	3069	https://v10-1.orthodb.org/?query=0at4891	Midasin
6at4891	Complete	ptg000015l	303505	314739	+	4252.1	2822	https://v10-1.orthodb.org/?query=6at4891	PIK-related kinase
23at4891	Complete	ptg000004l	49142	39711	-	2474.5	2164	https://v10-1.orthodb.org/?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	ptg000006l	580756	587394	+	3449.4	1774	https://v10-1.orthodb.org/?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	ptg000004l	295425	286564	-	1717.7	1681	https://v10-1.orthodb.org/?query=50at4891	Protein Csf1
61at4891	Complete	ptg000005l	155970	146167	-	2068.3	1804	https://v10-1.orthodb.org/?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Complete	ptg000015l	437694	430453	-	3299.1	1825	https://v10-1.orthodb.org/?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	ptg000014l	116568	123266	+	3355.2	1830	https://v10-1.orthodb.org/?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	ptg000008l	971293	963278	-	2038.9	1509	https://v10-1.orthodb.org/?query=93at4891	Translational activator Gcn1
95at4891	Complete	ptg000005l	1350012	1356446	+	3250.4	1789	https://v10-1.orthodb.org/?query=95at4891	Glutamate synthase, alpha subunit, C-terminal
115at4891	Complete	ptg000016l	333316	340179	+	1745.3	1434	https://v10-1.orthodb.org/?query=115at4891	Cell morphogenesis central region
145at4891	Complete	ptg000002l	314410	307307	-	1239.4	1233	https://v10-1.orthodb.org/?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	ptg000002l	748308	756668	+	356.4	243	https://v10-1.orthodb.org/?query=154at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
170at4891	Complete	ptg000014l	629675	623019	-	2382.8	1575	https://v10-1.orthodb.org/?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	ptg000013l	278260	272561	-	1390.6	1006	https://v10-1.orthodb.org/?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Complete	ptg000008l	1001593	1006527	+	2559.9	1454	https://v10-1.orthodb.org/?query=227at4891	Clathrin heavy chain
245at4891	Complete	ptg000011l	956450	961438	+	2452.6	1331	https://v10-1.orthodb.org/?query=245at4891	RNA polymerase Rpb1, domain 1
274at4891	Complete	ptg000017l	573097	566963	-	2846.2	1628	https://v10-1.orthodb.org/?query=274at4891	Fatty acid synthase
300at4891	Complete	ptg000001l	85876	79508	-	1278.7	868	https://v10-1.orthodb.org/?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
331at4891	Complete	ptg000006l	541297	546603	+	1281.5	1194	https://v10-1.orthodb.org/?query=331at4891	U3 small nucleolar RNA-associated protein 10
364at4891	Complete	ptg000005l	821341	816578	-	1880.6	1227	https://v10-1.orthodb.org/?query=364at4891	3-phosphoshikimate 1-carboxyvinyltransferase
365at4891	Complete	ptg000005l	1295110	1300284	+	2554.8	1301	https://v10-1.orthodb.org/?query=365at4891	RNA polymerase Rpb1, domain 7
369at4891	Complete	ptg000017l	167859	172448	+	1371.1	875	https://v10-1.orthodb.org/?query=369at4891	Phospholipase
394at4891	Complete	ptg000010l	54703	48437	-	1255.7	1087	https://v10-1.orthodb.org/?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	ptg000011l	545123	540744	-	2266.5	1183	https://v10-1.orthodb.org/?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	ptg000011l	612114	608461	-	2194.3	1048	https://v10-1.orthodb.org/?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
425at4891	Complete	ptg000003l	358676	362284	+	1903.7	970	https://v10-1.orthodb.org/?query=425at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
431at4891	Complete	ptg000002l	346152	350327	+	1768.7	1057	https://v10-1.orthodb.org/?query=431at4891	Polyketide synthase, phosphopantetheine-binding domain
443at4891	Complete	ptg000006l	62122	57371	-	1109.3	841	https://v10-1.orthodb.org/?query=443at4891	Winged helix-like DNA-binding domain superfamily
455at4891	Complete	ptg000008l	376717	372368	-	1042.8	978	https://v10-1.orthodb.org/?query=455at4891	Transcription elongation factor Spt6
468at4891	Complete	ptg000007l	562264	557297	-	1567.6	980	https://v10-1.orthodb.org/?query=468at4891	P-type ATPase
469at4891	Complete	ptg000003l	844787	849265	+	640.0	787	https://v10-1.orthodb.org/?query=469at4891	Rho GTPase activation protein
471at4891	Complete	ptg000009l	477599	471105	-	842.8	952	https://v10-1.orthodb.org/?query=471at4891	Ras guanine nucleotide exchange factor domain superfamily
510at4891	Complete	ptg000005l	384426	380764	-	1193.5	942	https://v10-1.orthodb.org/?query=510at4891	Armadillo-type fold
514at4891	Complete	ptg000015l	37223	42808	+	1487.6	1326	https://v10-1.orthodb.org/?query=514at4891	Proteasome component Ecm29
515at4891	Complete	ptg000009l	500143	504546	+	1583.5	909	https://v10-1.orthodb.org/?query=515at4891	Chromo domain
519at4891	Complete	ptg000002l	584632	577157	-	1806.5	1704	https://v10-1.orthodb.org/?query=519at4891	Armadillo-type fold
528at4891	Complete	ptg000008l	481156	485229	+	1774.7	1026	https://v10-1.orthodb.org/?query=528at4891	PurM-like, C-terminal domain
535at4891	Duplicated	ptg000002l	732170	727947	-	846.5	818	https://v10-1.orthodb.org/?query=535at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
535at4891	Duplicated	ptg000009l	373115	368964	-	731.4	811	https://v10-1.orthodb.org/?query=535at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
540at4891	Complete	ptg000007l	62586	57922	-	1063.5	1236	https://v10-1.orthodb.org/?query=540at4891	Nucleoporin Nup188
