#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
5791at4891_2|ptg000003l:442198-444360   -            721 5791at4891           -            462  9.1e-198  654.8   0.1   1   1  1.2e-199  2.5e-197  653.4   0.1    17   461   201   699   198   700 0.88 -
1679at4891_2|ptg000013l:449512-453372   -           1287 5791at4891           -            462   1.3e-18   64.1   0.5   1   2   9.9e-08     2e-05   20.7   0.0    44   146   353   463   332   470 0.80 -
1679at4891_2|ptg000013l:449512-453372   -           1287 5791at4891           -            462   1.3e-18   64.1   0.5   2   2   6.5e-14   1.3e-11   41.0   0.1   227   404   691   864   672   890 0.73 -
2020at4891_2|ptg000006l:412859-416077   -           1073 5791at4891           -            462   5.1e-13   45.7   0.2   1   2   8.9e-07   0.00018   17.5   0.0    44   146   173   281   163   312 0.82 -
2020at4891_2|ptg000006l:412859-416077   -           1073 5791at4891           -            462   5.1e-13   45.7   0.2   2   2   2.6e-09   5.4e-07   25.8   0.0   246   316   490   564   476   663 0.77 -
15766at4891_4|ptg000005l:575310-577073  -            588 5791at4891           -            462   1.7e-05   20.9   0.2   1   1   1.5e-07   3.1e-05   20.0   0.2   217   319   453   549   436   586 0.75 -
11037at4891_2|ptg000015l:442921-444213  -            431 5791at4891           -            462   2.7e-05   20.2   0.7   1   3      0.14        29    0.4   0.0    44    97    49   114    44   126 0.68 -
11037at4891_2|ptg000015l:442921-444213  -            431 5791at4891           -            462   2.7e-05   20.2   0.7   2   3      0.31        63   -0.7   0.1   360   418   182   241   160   270 0.75 -
11037at4891_2|ptg000015l:442921-444213  -            431 5791at4891           -            462   2.7e-05   20.2   0.7   3   3   2.6e-06   0.00054   15.9   1.0   203   361   257   420   244   426 0.79 -
9846at4891_1|ptg000004l:117254-119470   -            739 5791at4891           -            462   2.9e-05   20.2   0.9   1   2     0.053        11    1.8   0.1   308   401   355   452   351   467 0.75 -
9846at4891_1|ptg000004l:117254-119470   -            739 5791at4891           -            462   2.9e-05   20.2   0.9   2   2   1.8e-06   0.00036   16.5   0.1   206   326   473   594   461   646 0.79 -
11161at4891_6|ptg000006l:598503-599603  -            367 5791at4891           -            462   5.5e-05   19.2   0.2   1   1   5.1e-07   0.00011   18.3   0.1   205   324   242   354   215   363 0.79 -
11161at4891_6|ptg000017l:117639-118739  -            367 5791at4891           -            462   5.5e-05   19.2   0.2   1   1   5.1e-07   0.00011   18.3   0.1   205   324   242   354   215   363 0.79 -
2020at4891_0|ptg000009l:527692-529278   -            529 5791at4891           -            462   7.5e-05   18.8   0.0   1   2     0.022       4.5    3.0   0.1    61   140    58   148    18   154 0.66 -
2020at4891_0|ptg000009l:527692-529278   -            529 5791at4891           -            462   7.5e-05   18.8   0.0   2   2   2.8e-05    0.0058   12.5   0.0   235   301   310   380   291   414 0.83 -
10350at4891_2|ptg000008l:740959-742527  -            523 5791at4891           -            462   0.00021   17.3   0.3   1   4      0.36        74   -1.0   0.0    38    79   152   202   147   220 0.65 -
10350at4891_2|ptg000008l:740959-742527  -            523 5791at4891           -            462   0.00021   17.3   0.3   2   4      0.36        75   -1.0   0.0   213   239   198   224   178   234 0.77 -
10350at4891_2|ptg000008l:740959-742527  -            523 5791at4891           -            462   0.00021   17.3   0.3   3   4       1.3   2.7e+02   -2.9   0.0   332   397   266   337   251   353 0.55 -
10350at4891_2|ptg000008l:740959-742527  -            523 5791at4891           -            462   0.00021   17.3   0.3   4   4   8.5e-06    0.0018   14.3   0.0   223   309   381   464   357   515 0.73 -
8758at4891_1|ptg000005l:1199077-1200414 -            446 5791at4891           -            462   0.00078   15.4   0.2   1   2       2.8   5.8e+02   -3.9   0.0   225   239   159   173   155   190 0.76 -
8758at4891_1|ptg000005l:1199077-1200414 -            446 5791at4891           -            462   0.00078   15.4   0.2   2   2   6.9e-06    0.0014   14.6   0.1   218   319   323   418   283   434 0.80 -
