#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
32672at4891_2|ptg000004l:261726-262157   -            144 32672at4891          -            110   6.3e-62  204.2   2.0   1   1   1.3e-64   8.6e-62  203.8   2.0     1   109     1   109     1   110 0.99 -
22851at4891_2|ptg000014l:555468-557231   -            588 32672at4891          -            110   0.00012   19.8   0.6   1   4   1.7e-07   0.00012   19.8   0.6    46    84   335   373   311   400 0.73 -
22851at4891_2|ptg000014l:555468-557231   -            588 32672at4891          -            110   0.00012   19.8   0.6   2   4      0.69   4.6e+02   -1.4   1.9    65    88   450   473   436   492 0.68 -
22851at4891_2|ptg000014l:555468-557231   -            588 32672at4891          -            110   0.00012   19.8   0.6   3   4         4   2.7e+03   -4.2   4.5    10    47   458   498   452   546 0.48 -
22851at4891_2|ptg000014l:555468-557231   -            588 32672at4891          -            110   0.00012   19.8   0.6   4   4      0.66   4.4e+02   -1.3   0.0    51    74   551   574   542   585 0.81 -
34600at4891_2|ptg000011l:472859-473548   -            230 32672at4891          -            110   0.00035   18.3   0.7   1   1   1.7e-06    0.0011   16.7   0.7    47    81    23    57     7    71 0.87 -
21707at4891_1|ptg000005l:1106526-1108106 -            527 32672at4891          -            110    0.0084   13.9   0.3   1   3       2.5   1.7e+03   -3.2   0.1     7    14    61    68    50    93 0.60 -
21707at4891_1|ptg000005l:1106526-1108106 -            527 32672at4891          -            110    0.0084   13.9   0.3   2   3   1.3e-05    0.0084   13.9   0.3    49    85   278   314   270   321 0.86 -
21707at4891_1|ptg000005l:1106526-1108106 -            527 32672at4891          -            110    0.0084   13.9   0.3   3   3       2.2   1.5e+03   -3.0   0.2    49    82   419   453   413   460 0.69 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/32672at4891.hmm
# Target file:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/32672at4891.out --cpu 1 /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/32672at4891.hmm /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas 
# Current dir:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly
# Date:            Wed Feb 21 15:52:44 2024
# [ok]
