#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17712at4891_2|ptg000007l:63625-65004     -            460 17712at4891          -            341  1.5e-124  412.6   0.1   1   1    2e-124  7.6e-123  407.1   0.1     1   331     1   407     1   417 0.80 -
10099at4891_2|ptg000002l:594852-597371   -            840 17712at4891          -            341     6e-44  147.6   0.0   1   3   0.00039     0.015   11.5   0.0    16    41    19    47     9    59 0.64 -
10099at4891_2|ptg000002l:594852-597371   -            840 17712at4891          -            341     6e-44  147.6   0.0   2   3   3.9e-33   1.5e-31  106.9   0.0    48   258    72   294    65   301 0.80 -
10099at4891_2|ptg000002l:594852-597371   -            840 17712at4891          -            341     6e-44  147.6   0.0   3   3   2.9e-08   1.1e-06   25.1   0.0   257   327   317   388   309   396 0.78 -
4206at4891_2|ptg000010l:112406-115159    -            918 17712at4891          -            341   3.8e-27   92.4  18.7   1   8      0.37        14    1.8   0.0    53    92    53    93    34   101 0.72 -
4206at4891_2|ptg000010l:112406-115159    -            918 17712at4891          -            341   3.8e-27   92.4  18.7   2   8   6.3e-07   2.4e-05   20.7   0.0    56   142    97   181    89   184 0.83 -
4206at4891_2|ptg000010l:112406-115159    -            918 17712at4891          -            341   3.8e-27   92.4  18.7   3   8   0.00013    0.0049   13.1   0.5    50   123   186   256   183   269 0.81 -
4206at4891_2|ptg000010l:112406-115159    -            918 17712at4891          -            341   3.8e-27   92.4  18.7   4   8   1.2e-05   0.00044   16.6   0.1    48   137   295   375   285   377 0.78 -
4206at4891_2|ptg000010l:112406-115159    -            918 17712at4891          -            341   3.8e-27   92.4  18.7   5   8   2.1e-10   7.9e-09   32.2   0.1    24   137   358   461   342   464 0.83 -
4206at4891_2|ptg000010l:112406-115159    -            918 17712at4891          -            341   3.8e-27   92.4  18.7   6   8   7.3e-09   2.7e-07   27.1   0.0    34   139   454   547   445   555 0.83 -
4206at4891_2|ptg000010l:112406-115159    -            918 17712at4891          -            341   3.8e-27   92.4  18.7   7   8       2.2        81   -0.7   0.0    92   136   564   606   553   610 0.74 -
