#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
23253at4891_2|ptg000008l:801496-802842 -            449 23253at4891          -            314   7.6e-84  278.7   0.4   1   1     7e-86   1.6e-83  277.7   0.4     1   303     1   449     1   449 0.83 -
16921at4891_8|ptg000010l:74467-75159   -            231 23253at4891          -            314     4e-09   33.2   0.3   1   4   8.6e-06    0.0019   14.6   0.0   241   270    11    40     9    48 0.89 -
16921at4891_8|ptg000010l:74467-75159   -            231 23253at4891          -            314     4e-09   33.2   0.3   2   4      0.04         9    2.5   0.0   243   261    55    73    51    89 0.90 -
16921at4891_8|ptg000010l:74467-75159   -            231 23253at4891          -            314     4e-09   33.2   0.3   3   4   0.00012     0.026   10.8   0.0   241   260    95   114    83   118 0.91 -
16921at4891_8|ptg000010l:74467-75159   -            231 23253at4891          -            314     4e-09   33.2   0.3   4   4      0.36        80   -0.6   0.0   242   260   145   163   140   166 0.85 -
15960at4891_0|ptg000014l:156967-157878 -            304 23253at4891          -            314   3.6e-08   30.1   0.0   1   3     0.051        11    2.2   0.0    44   101    46   106    22   123 0.54 -
15960at4891_0|ptg000014l:156967-157878 -            304 23253at4891          -            314   3.6e-08   30.1   0.0   2   3    0.0021      0.48    6.7   0.0     4   104    91   193    89   254 0.66 -
15960at4891_0|ptg000014l:156967-157878 -            304 23253at4891          -            314   3.6e-08   30.1   0.0   3   3   5.2e-07   0.00012   18.6   0.0   239   276   262   299   256   303 0.89 -
16921at4891_3|ptg000006l:551155-551790 -            212 23253at4891          -            314   2.8e-07   27.2   0.1   1   3     0.069        15    1.8   0.0   241   262    13    34     7    38 0.88 -
16921at4891_3|ptg000006l:551155-551790 -            212 23253at4891          -            314   2.8e-07   27.2   0.1   2   3   0.00029     0.064    9.6   0.0   216   266    49   102    33   112 0.71 -
16921at4891_3|ptg000006l:551155-551790 -            212 23253at4891          -            314   2.8e-07   27.2   0.1   3   3   3.7e-05    0.0084   12.5   0.0   240   308   116   188   101   194 0.77 -
17077at4891_6|ptg000001l:154292-154936 -            215 23253at4891          -            314   2.6e-06   24.0   0.4   1   2   3.7e-07   8.3e-05   19.1   0.2   197   272     9    89     6   117 0.75 -
17077at4891_6|ptg000001l:154292-154936 -            215 23253at4891          -            314   2.6e-06   24.0   0.4   2   2      0.21        46    0.2   0.0   239   261   163   185    95   208 0.55 -
16921at4891_6|ptg000016l:181899-182717 -            273 23253at4891          -            314   3.1e-06   23.8   0.1   1   4    0.0012      0.27    7.5   0.1   218   270    10    66     3    74 0.71 -
16921at4891_6|ptg000016l:181899-182717 -            273 23253at4891          -            314   3.1e-06   23.8   0.1   2   4    0.0003     0.067    9.5   0.1   199   261    31    97    27   113 0.75 -
16921at4891_6|ptg000016l:181899-182717 -            273 23253at4891          -            314   3.1e-06   23.8   0.1   3   4    0.0021      0.46    6.8   0.0   247   304   124   187   119   197 0.68 -
16921at4891_6|ptg000016l:181899-182717 -            273 23253at4891          -            314   3.1e-06   23.8   0.1   4   4      0.31        69   -0.4   0.0   243   265   209   231   205   245 0.86 -
11568at4891_2|ptg000017l:275223-276446 -            408 23253at4891          -            314   9.9e-06   22.1   1.9   1   3    0.0012      0.26    7.6   0.0   238   261    54    77     4   134 0.91 -
11568at4891_2|ptg000017l:275223-276446 -            408 23253at4891          -            314   9.9e-06   22.1   1.9   2   3      0.17        37    0.5   0.0    14    73   223   276   209   284 0.59 -
11568at4891_2|ptg000017l:275223-276446 -            408 23253at4891          -            314   9.9e-06   22.1   1.9   3   3   0.00013     0.028   10.7   1.0   241   298   309   379   294   396 0.70 -
17077at4891_2|ptg000009l:290638-291492 -            285 23253at4891          -            314   2.2e-05   20.9   0.0   1   2   0.00042     0.094    9.0   0.0   242   272    18    48    12    71 0.81 -
17077at4891_2|ptg000009l:290638-291492 -            285 23253at4891          -            314   2.2e-05   20.9   0.0   2   2   0.00064      0.14    8.4   0.0   199   281   184   266   123   275 0.81 -
16921at4891_9|ptg000010l:93758-94756   -            333 23253at4891          -            314   0.00089   15.7   0.0   1   3      0.33        74   -0.5   0.0   241   260    17    36    16    39 0.87 -
16921at4891_9|ptg000010l:93758-94756   -            333 23253at4891          -            314   0.00089   15.7   0.0   2   3   0.00037     0.082    9.2   0.0   189   260    57   127    50   141 0.74 -
16921at4891_9|ptg000010l:93758-94756   -            333 23253at4891          -            314   0.00089   15.7   0.0   3   3      0.05        11    2.2   0.0   205   262   233   296   159   304 0.71 -
17074at4891_3|ptg000017l:164206-165084 -            293 23253at4891          -            314    0.0029   14.0   0.0   1   2     0.071        16    1.7   0.0    69   226    72   108    15   123 0.60 -
17074at4891_3|ptg000017l:164206-165084 -            293 23253at4891          -            314    0.0029   14.0   0.0   2   2   0.00081      0.18    8.1   0.0   233   265   182   216    70   226 0.59 -
3606at4891_2|ptg000002l:201554-203944  -            797 23253at4891          -            314    0.0035   13.7   1.5   1   3      0.16        36    0.5   0.0   240   268   537   565   515   569 0.83 -
3606at4891_2|ptg000002l:201554-203944  -            797 23253at4891          -            314    0.0035   13.7   1.5   2   3    0.0041      0.91    5.8   0.0   242   272   623   653   616   663 0.89 -
3606at4891_2|ptg000002l:201554-203944  -            797 23253at4891          -            314    0.0035   13.7   1.5   3   3      0.02       4.5    3.5   0.0   241   260   707   726   681   729 0.90 -
2549at4891_2|ptg000015l:476752-481413  -           1554 23253at4891          -            314     0.065    9.6   9.2   1   4       6.2   1.4e+03   -4.7   1.0    26    59   848   883   842   896 0.68 -
2549at4891_2|ptg000015l:476752-481413  -           1554 23253at4891          -            314     0.065    9.6   9.2   2   4   9.6e-05     0.021   11.1   0.1   197   239  1214  1256  1195  1294 0.82 -
2549at4891_2|ptg000015l:476752-481413  -           1554 23253at4891          -            314     0.065    9.6   9.2   3   4      0.34        76   -0.5   0.0   208   257  1334  1382  1322  1386 0.77 -
2549at4891_2|ptg000015l:476752-481413  -           1554 23253at4891          -            314     0.065    9.6   9.2   4   4      0.04         9    2.5   0.1   183   246  1450  1507  1444  1510 0.70 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/23253at4891.hmm
# Target file:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/23253at4891.out --cpu 1 /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/23253at4891.hmm /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas 
# Current dir:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly
# Date:            Wed Feb 21 15:52:41 2024
# [ok]
